ST,G,MS,MV,M2S,M2V,M3
72.73,72.73,73.86,73.86,72.73,72.73,71.59
74.90,74.06,76.15,76.15,71.97,71.97,83.26
81.30,81.08,75.08,75.08,79.35,79.35,81.41
87.63,86.59,84.67,84.67,87.63,87.63,87.63
69.60,69.92,66.08,66.08,73.84,72.16,70.08
84.66,85.25,81.12,81.12,85.84,85.84,85.84
71.05,71.05,73.68,73.68,71.05,71.05,71.05
82.42,82.42,82.42,82.42,82.42,82.42,82.42
73.96,73.96,40.10,40.10,74.48,74.48,73.44
66.35,63.51,41.23,41.23,64.45,64.45,69.19
96.69,96.53,96.61,96.61,96.61,96.61,96.86
95.24,95.24,94.87,94.87,95.24,95.24,95.99
76.34,76.34,76.34,76.34,76.34,76.34,76.34
57.69,57.69,65.38,65.38,57.69,57.69,61.54
68.00,68.00,64.00,64.00,68.00,68.00,68.00
81.25,81.25,74.58,74.58,81.25,81.25,79.58
96.91,96.97,96.60,96.60,97.51,97.51,97.76
96.53,96.53,96.53,96.53,96.53,96.53,97.00
89.67,91.09,81.02,81.02,90.18,90.18,92.07
71.11,71.11,71.11,71.11,71.11,71.11,71.11
72.73,72.73,72.73,72.73,72.73,72.73,73.86
83.68,83.68,83.68,83.68,83.68,83.68,82.43
72.54,81.08,77.30,77.30,83.35,83.35,86.49
73.00,73.00,73.00,73,74.91,73.17, 73.17 
76.40,75.76,74.72,74.72,76.72,76.00, 76.72 
83.19,83.19,79.94,79.94,83.48,83.48,84.37
73.68,75.00,76.32,76.32,75.00,76.32,75.00
92.71,93.11,90.99,90.99,91.43,91.43,92.61
70.31,70.31,70.83,70.83,73.44,73.96,72.40
42.18,37.44,36.97,36.97,37.44,36.97,37.44
88.67,92.80,95.45,95.45,51.20,51.20,89.16
67.21,64.33,66.96,66.96,65.21,65.08,71.34
72.04,72.04,75.27,75.27,73.12,73.12,70.43
69.23,69.23,69.23,69.23,69.23,69.23,69.23
88.00,88.00,88.00,88.00,88.00,88.00,88.00
78.33,78.75,77.50,77.50,78.75,78.75,78.75
75.86,75.80,79.50,79.50,75.74,75.74,75.86
68.93,68.93,67.98,67.98,68.14,68.14,68.14
81.02,84.15,84.91,84.91,83.96,83.96,83.16
53.33,55.56,66.67,66.67,55.56,55.56,57.78
72.73,72.73,71.59,71.59,71.59,71.59,71.59
65.69,68.20,65.27,65.27,69.04,69.04,66.11
97.24,97.35,97.08,97.08,97.35,97.35,97.30
90.07,89.55,88.50,88.5,91.46,91.46,92.68
75.44,74.08,69.36,69.36,75.12,75.12,73.12
82.89,82.89,51.92,51.92,82.89,82.89,82.89
73.68,73.68,73.68,73.68,73.68,73.68,73.68
99.90,99.90,99.90,99.90,99.90,99.90,99.90
73.44,69.79,71.88,71.88,68.23,68.23,65.63
63.51,63.98,33.65,45.97,62.56,62.56,63.03
96.20,96.20,96.53,96.20,96.20,96.20,95.62
94.49,94.99,94.12,94.12,95.62,95.62,94.49
76.34,76.34,76.34,76.34,76.34,76.34,76.34
61.54,61.54,61.54,61.54,53.85,53.85,61.54
64.00,64.00,52.00,52.00,52.00,52.00,64.00
81.25,80.83,78.33,78.33,80.00,80.00,81.25
99.88,99.88,99.88,99.88,99.88,99.88,99.88
97.16,96.37,97.16,97.16,96.37,96.37,97.16
91.38,89.16,86.95,86.95,90.47,91.31,90.95
71.11,71.11,71.11,71.11,71.11,71.11,71.11
72.73,72.73,69.32,69.32,68.18,68.18,72.73
82.01,87.03,85.77,85.77,89.54,89.54,89.96
81.35,81.73,79.41,79.41,81.46,81.46,81.19
90.59,88.68,79.62,79.62,87.98,87.98,90.59
74.88,71.84,43.60,43.6,74.80,77.04,69.76
84.96,86.14,79.65,79.65,86.14,86.14,89.38
72.37,72.37,73.68,73.68,72.37,72.37,72.37
82.42,82.42,82.42,82.42,82.42,82.42,82.42
67.19,64.06,65.10,65.10,69.79,71.35,73.44
62.56,52.61,47.39,47.39,59.72,59.72,63.51
96.44,96.20,96.44,96.44,96.20,96.11,96.61
96.12,96.12,94.49,94.49,94.74,94.74,95.12
76.34,76.34,76.34,76.34,76.34,76.34,77.96
53.85,53.85,53.85,53.85,53.85,53.85,55.77
84.00,84.00,64.00,64.00,84.00,84.00,84.00
80.00,79.17,67.08,67.08,80.42,80.42,79.17
97.21,97.09,96.48,96.48,96.97,96.97,97.94
96.06,96.06,95.11,95.11,95.74,95.74,47.78
91.53,91.82,87.16,87.16,91.42,91.42,92.55
71.11,71.11,71.11,71.11,71.11,71.11,71.11
71.59,71.59,59.09,59.09,72.73,72.73,71.59
98.74,98.74,98.74,98.74,98.74,98.74,98.33
82.65,81.95,86.81,86.81,87.57,87.57,85.19
